Ethernet_1 E131 192.168.0.50
Output,Model 1,
Pixel Port 1(SC:1)(UNI:#101:1)(CHANS:279)(PIX:93),Matrix-str-1(DESP:98" wide by 62" tall)(SC:1)(UNI:#101:1)(CHANS:279)(PIX:93),
Pixel Port 2(SC:511)(UNI:#102:1)(CHANS:279)(PIX:93),Matrix-str-2(DESP:98" wide by 62" tall)(SC:511)(UNI:#102:1)(CHANS:279)(PIX:93),
Pixel Port 3(SC:1021)(UNI:#103:1)(CHANS:279)(PIX:93),Matrix-str-3(DESP:98" wide by 62" tall)(SC:1021)(UNI:#103:1)(CHANS:279)(PIX:93),
Pixel Port 4(SC:1531)(UNI:#104:1)(CHANS:279)(PIX:93),Matrix-str-4(DESP:98" wide by 62" tall)(SC:1531)(UNI:#104:1)(CHANS:279)(PIX:93),
Pixel Port 5(SC:2041)(UNI:#105:1)(CHANS:279)(PIX:93),Matrix-str-5(DESP:98" wide by 62" tall)(SC:2041)(UNI:#105:1)(CHANS:279)(PIX:93),
Pixel Port 6(SC:2551)(UNI:#106:1)(CHANS:279)(PIX:93),Matrix-str-6(DESP:98" wide by 62" tall)(SC:2551)(UNI:#106:1)(CHANS:279)(PIX:93),
Pixel Port 7(SC:3061)(UNI:#107:1)(CHANS:279)(PIX:93),Matrix-str-7(DESP:98" wide by 62" tall)(SC:3061)(UNI:#107:1)(CHANS:279)(PIX:93),
Pixel Port 8(SC:3571)(UNI:#108:1)(CHANS:279)(PIX:93),Matrix-str-8(DESP:98" wide by 62" tall)(SC:3571)(UNI:#108:1)(CHANS:279)(PIX:93),
Pixel Port 9(SC:4081)(UNI:#109:1)(CHANS:279)(PIX:93),Matrix-str-9(DESP:98" wide by 62" tall)(SC:4081)(UNI:#109:1)(CHANS:279)(PIX:93),
Pixel Port 10(SC:4591)(UNI:#110:1)(CHANS:279)(PIX:93),Matrix-str-10(DESP:98" wide by 62" tall)(SC:4591)(UNI:#110:1)(CHANS:279)(PIX:93),
Pixel Port 11(SC:5101)(UNI:#111:1)(CHANS:279)(PIX:93),Matrix-str-11(DESP:98" wide by 62" tall)(SC:5101)(UNI:#111:1)(CHANS:279)(PIX:93),
